Courses by Dept w Enrlmt,3774,,,,,,,,,,
Acad Org,Current Status,Course ID,Subject,Catalog,Section,Term,Term2,Title,Tot Enrl,Component,Instructor
16300,Active,8743,MA,232,2,4172,Spring 2017,Elementary Differential Eq,90,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,3,4159,Fall 2015,Elementary Differential Eq,105,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,11,4162,Spring 2016,Elementary Differential Eq,8,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,11,4172,Spring 2017,Elementary Differential Eq,17,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,12,4162,Spring 2016,Elementary Differential Eq,16,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,12,4172,Spring 2017,Elementary Differential Eq,26,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,13,4162,Spring 2016,Elementary Differential Eq,8,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,13,4172,Spring 2017,Elementary Differential Eq,25,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,14,4162,Spring 2016,Elementary Differential Eq,2,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,14,4172,Spring 2017,Elementary Differential Eq,15,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,21,4159,Fall 2015,Elementary Differential Eq,29,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,21,4162,Spring 2016,Elementary Differential Eq,14,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,21,4172,Spring 2017,Elementary Differential Eq,14,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,22,4159,Fall 2015,Elementary Differential Eq,26,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,22,4162,Spring 2016,Elementary Differential Eq,23,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,22,4172,Spring 2017,Elementary Differential Eq,25,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,23,4159,Fall 2015,Elementary Differential Eq,27,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,23,4162,Spring 2016,Elementary Differential Eq,25,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,23,4172,Spring 2017,Elementary Differential Eq,27,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,24,4159,Fall 2015,Elementary Differential Eq,28,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,24,4162,Spring 2016,Elementary Differential Eq,25,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,24,4172,Spring 2017,Elementary Differential Eq,23,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,31,4159,Fall 2015,Elementary Differential Eq,21,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,32,4159,Fall 2015,Elementary Differential Eq,29,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,33,4159,Fall 2015,Elementary Differential Eq,29,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,34,4159,Fall 2015,Elementary Differential Eq,26,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8763,MA,331,1,4162,Spring 2016,Fourier Series/Boundary Value,59,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8768,MA,339,1,4146,Summer 2014,Applied Linear Algebra,3,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8768,MA,339,1,4166,Summer 2016,Applied Linear Algebra,2,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8768,MA,339,1,4169,Fall 2016,Applied Linear Algebra,97,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8768,MA,339,1,4176,Summer 2017,Applied Linear Algebra,1,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,11,4179,Fall 2017,Calculus I,20,DIS,"Amoah-Darko JNR,Frederick Laud"
16300,Active,8732,MA,131,12,4179,Fall 2017,Calculus I,23,DIS,"Amoah-Darko JNR,Frederick Laud"
16300,Active,8732,MA,131,13,4179,Fall 2017,Calculus I,19,DIS,"Amoah-Darko JNR,Frederick Laud"
16300,Active,8732,MA,131,14,4179,Fall 2017,Calculus I,10,DIS,"Amoah-Darko JNR,Frederick Laud"
16300,Active,8733,MA,132,21,4182,Spring 2018,Calculus II,23,DIS,"Amoah-Darko JNR,Frederick Laud"
16300,Active,8733,MA,132,22,4182,Spring 2018,Calculus II,26,DIS,"Amoah-Darko JNR,Frederick Laud"
16300,Active,8733,MA,132,23,4182,Spring 2018,Calculus II,12,DIS,"Amoah-Darko JNR,Frederick Laud"
16300,Active,8733,MA,132,24,4182,Spring 2018,Calculus II,20,DIS,"Amoah-Darko JNR,Frederick Laud"
16300,Active,8747,STAT,282,11,4219,Fall 2021,General Statistics,25,DIS,"Anastasio,Gabrielle D"
16300,Active,8747,STAT,282,13,4219,Fall 2021,General Statistics,25,DIS,"Anastasio,Gabrielle D"
16300,Active,8747,STAT,282,14,4212,Spring 2021,General Statistics,12,DIS,"Anastasio,Gabrielle D"
16300,Active,8747,STAT,282,15,4209,Fall 2020,General Statistics,22,DIS,"Anastasio,Gabrielle D"
16300,Active,8726,MA,41,1,4212,Spring 2021,Co-Calculus Mathematics,24,LEC,"Annan,William Ebo"
16300,Active,8726,MA,41,2,4212,Spring 2021,Co-Calculus Mathematics,8,LEC,"Annan,William Ebo"
16300,Active,8726,MA,41,D1,4212,Spring 2021,Co-Calculus Mathematics,8,LEC,"Annan,William Ebo"
16300,Active,10149,MA,42,1,4209,Fall 2020,Co-Calculus II,3,DIS,"Annan,William Ebo"
16300,Active,8732,MA,131,31,4199,Fall 2019,Calculus I,24,DIS,"Annan,William Ebo"
16300,Active,8732,MA,131,32,4199,Fall 2019,Calculus I,23,DIS,"Annan,William Ebo"
16300,Active,8732,MA,131,33,4199,Fall 2019,Calculus I,28,DIS,"Annan,William Ebo"
16300,Active,8732,MA,131,34,4199,Fall 2019,Calculus I,25,DIS,"Annan,William Ebo"
16300,Active,8732,MA,131,51,4219,Fall 2021,Calculus I,24,DIS,"Annan,William Ebo"
16300,Active,8732,MA,131,52,4219,Fall 2021,Calculus I,16,DIS,"Annan,William Ebo"
16300,Active,8732,MA,131,53,4219,Fall 2021,Calculus I,24,DIS,"Annan,William Ebo"
16300,Active,8732,MA,131,54,4219,Fall 2021,Calculus I,14,DIS,"Annan,William Ebo"
16300,Active,8733,MA,132,1,4152,Spring 2015,Calculus II,107,LEC,"Kavanagh,Kathleen R"
16300,Active,8733,MA,132,11,4202,Spring 2020,Calculus II,14,DIS,"Annan,William Ebo"
16300,Active,8733,MA,132,12,4202,Spring 2020,Calculus II,17,DIS,"Annan,William Ebo"
16300,Active,8733,MA,132,13,4202,Spring 2020,Calculus II,8,DIS,"Annan,William Ebo"
16300,Active,8733,MA,132,14,4202,Spring 2020,Calculus II,13,DIS,"Annan,William Ebo"
16300,Active,8733,MA,132,31,4209,Fall 2020,Calculus II,20,DIS,"Annan,William Ebo"
16300,Active,8733,MA,132,32,4209,Fall 2020,Calculus II,13,DIS,"Annan,William Ebo"
